leagueId,tier,number
054e8330-3ef2-11e9-8fac-c81f66dbb56c,GOLD,200
055b5f90-79fa-11e9-b227-c81f66cf135e,PLATINUM,198
055bce80-2086-11e9-9b3f-c81f66cf2333,BRONZE,113
0560ab80-2a81-11e9-ac1b-c81f66cf2333,SILVER,164
056a71a0-2401-11e9-85b4-c81f66cf2333,DIAMOND,200
056aec10-f2b0-11e9-8731-c81f66dbb56c,GOLD,112
05798ef0-2263-11e9-828d-c81f66dbb56c,PLATINUM,217
05844fb0-21e7-11e9-9704-c81f66cf135e,BRONZE,56
058a25f0-f4f7-11e9-b1cc-c81f66dbb56c,SILVER,84
058f9b20-aa6f-11e9-9019-c81f66dbb56c,GOLD,199
0593c990-6873-11e9-855e-c81f66cf135e,SILVER,96
05966a10-c6d8-11e9-ac4e-c81f66dbb56c,SILVER,93
059743a0-d17c-11e9-9b17-c81f66cf135e,PLATINUM,199
059aaf40-2065-11e9-b0ff-c81f66dbb56c,BRONZE,94
05a30800-bbc6-11e9-867b-c81f66cf135e,SILVER,112
05a35320-cf6f-11e9-af01-c81f66dbb56c,SILVER,86
05a70940-34c7-11e9-ae81-c81f66cf135e,BRONZE,61
05a8a230-28da-11e9-ac29-c81f66cf135e,DIAMOND,205
05b28660-204c-11e9-8b20-c81f66cf135e,PLATINUM,199
05bbf0e0-2f21-11e9-9bdb-c81f66cf135e,GOLD,186
05c1aff0-f6d4-11e9-adca-56cbdc3b9bee,SILVER,83
05d18110-2041-11e9-aac6-c81f66cf2333,GOLD,191
05d6b750-20e8-11e9-8c4d-c81f66dbb56c,SILVER,173
05d6c880-2ef8-11e9-ae81-c81f66cf135e,SILVER,184
05df7650-951a-11e9-8251-c81f66dbb56c,SILVER,130
05e2c9d0-b3a7-11e9-aa29-c81f66cf135e,SILVER,97
05e37470-457a-11e9-8d57-c81f66cf2333,BRONZE,54
05e81520-2027-11e9-beb2-c81f66cf135e,SILVER,171
05eb4c50-db1a-11e9-8b35-c81f66cf135e,GOLD,142
05ec95e0-3126-11e9-afa1-c81f66cf2333,BRONZE,53
05eefcc0-b210-11e9-bf24-c81f66cf2333,BRONZE,42
05f2baa0-43a1-11e9-b803-c81f66dbb56c,BRONZE,58
05fd16f0-457a-11e9-8d57-c81f66cf2333,SILVER,169
06055b80-58da-11e9-8f73-c81f66cf2333,BRONZE,102
06069230-20ee-11e9-8c4d-c81f66dbb56c,SILVER,176
060bfd60-f479-11e9-9e1e-c81f66dbb56c,GOLD,107
060cc920-2422-11e9-8e8e-c81f66cf135e,SILVER,175
060d1b30-de46-11e9-89a9-c81f66dbb56c,SILVER,100
060edd60-202f-11e9-bc42-c81f66dbb56c,BRONZE,115
06167100-776f-11e9-b135-c81f66cf135e,SILVER,86
061ea750-2f42-11e9-b773-c81f66dbb56c,BRONZE,69
0622a4d0-000d-11ea-bc62-627a896227a9,GOLD,104
0639a4a0-2034-11e9-9748-c81f66cf2333,GOLD,230
063ce2e0-9a9c-11e9-bd4d-c81f66cf2333,SILVER,96
06416830-b0c0-11e9-8754-c81f66dbb56c,PLATINUM,200
06596a10-5789-11e9-9dc4-c81f66cf135e,SILVER,106
065ae2f0-996f-11e9-b135-c81f66cf135e,SILVER,91
06611700-01c6-11ea-8ed2-f2c7606c6475,GOLD,110
0666b360-cbaf-11e9-b538-c81f66dbb56c,BRONZE,37
066a4860-896d-11e9-bd4d-c81f66cf2333,SILVER,89
067064d0-2120-11e9-af42-c81f66dbb56c,IRON,32
067157e0-d1e8-11e9-af01-c81f66dbb56c,GOLD,156
0677f010-84a3-11e9-a1ee-c81f66dbb56c,SILVER,172
06830680-2030-11e9-a5ff-c81f66dbb56c,BRONZE,102
06852960-2030-11e9-aac6-c81f66cf2333,BRONZE,113
06890340-457a-11e9-8d57-c81f66cf2333,GOLD,192
0697d8d0-2427-11e9-aa7f-c81f66cf2333,IRON,32
069c8bc0-3596-11e9-91b7-c81f66dbb56c,GOLD,196
069e4460-1fe8-11e9-9a46-c81f66dbb56c,SILVER,179
06a0d100-457a-11e9-8d57-c81f66cf2333,DIAMOND,203
06a46810-d454-11e9-af01-c81f66dbb56c,GOLD,179
06ac6600-2c9d-11e9-854d-c81f66dbb56c,PLATINUM,199
06ba26b0-b1e9-11e9-a997-c81f66dbb56c,PLATINUM,195
06c2d570-445d-11e9-8a61-c81f66dbb56c,GOLD,196
06c77770-227e-11e9-9704-c81f66cf135e,BRONZE,114
06cb1550-457a-11e9-8d57-c81f66cf2333,BRONZE,63
06cf4120-2135-11e9-b719-c81f66cf2333,SILVER,152
06d052c0-8f37-11e9-8a0e-c81f66cf135e,SILVER,187
06d55420-d4f9-11e9-8b35-c81f66cf135e,DIAMOND,200
06d6dbf0-2069-11e9-ba5a-c81f66cf135e,BRONZE,102
06e4bab0-2724-11e9-aa3c-c81f66cf135e,IRON,56
06e7f960-221e-11e9-9704-c81f66cf135e,PLATINUM,200
06e944c0-9323-11e9-8a0e-c81f66cf135e,SILVER,137
06e999d0-457a-11e9-8d57-c81f66cf2333,SILVER,176
06ee4210-2049-11e9-9b3f-c81f66cf2333,BRONZE,94
06f0e900-71bd-11e9-84dd-c81f66dbb56c,PLATINUM,198
06f0ea90-c794-11e9-8640-c81f66cf135e,BRONZE,35
06f26af0-2000-11e9-beb2-c81f66cf135e,GOLD,187
